,0,1,2,3
0,4.1,Level 3,00:16:98:70:ba:33,2019-12-14 21:10:08.164 UTC
1,4.1,Level 3,28:16:7f:e0:45:f4,2019-12-27 18:51:20.347 UTC
2,4.1,Level 3,2c:59:8a:67:d7:d6,2019-12-07 22:13:11.822 UTC
3,4.1,Level 3,fc:64:3a:c7:8d:fe,2019-12-25 00:56:24.117 UTC
4,4.1,Level 3,38:71:de:bd:35:3f,2019-12-22 08:54:53.432 UTC
5,4.1,Level 3,b4:fb:e4:da:39:48,2019-12-10 19:17:02.501 UTC
6,4.1,Level 3,2c:59:8a:67:d7:d6,2019-12-07 22:13:11.826 UTC
7,4.1,Level 3,70:ef:00:bf:03:74,2019-12-15 12:04:04.823 UTC
8,4.1,Level 3,64:c7:53:48:95:ea,2019-12-06 15:53:58.158 UTC
9,4.1,Level 3,b4:fb:e4:da:39:48,2019-12-10 19:17:02.502 UTC
10,4.1,Level 3,64:c7:53:48:95:ea,2019-12-06 15:50:44.635 UTC
11,4.1,Level 3,00:16:98:70:ba:33,2019-12-14 21:10:08.165 UTC
12,4.1,Level 3,e0:ac:cb:82:39:ae,2019-12-09 08:02:09.132 UTC
13,4.1,Level 3,70:ef:00:bf:03:74,2019-12-15 12:04:04.858 UTC
14,4.1,Level 3,8a:9c:d4:c2:a4:78,2019-12-08 00:22:54.216 UTC
15,4.1,Level 3,58:d9:c3:cf:4f:2b,2019-12-01 10:23:53.427 UTC
16,4.1,Level 3,c0:d0:12:85:10:6e,2019-12-15 07:43:25.416 UTC
17,4.1,Level 3,c0:d0:12:85:10:6e,2019-12-15 07:43:25.415 UTC
18,4.1,Level 3,dc:bf:e9:cc:0c:69,2019-12-05 12:13:30.503 UTC
19,4.1,Level 3,7c:8b:b5:63:a9:91,2019-12-29 12:42:19.054 UTC
20,4.1,Level 3,34:c0:59:64:5f:bf,2019-12-07 08:05:28.18 UTC
21,4.1,Level 3,0c:d7:46:7a:7f:35,2019-12-16 17:44:51.466 UTC
22,4.1,Level 3,6c:4d:73:5f:5b:88,2019-12-20 12:19:14.851 UTC
23,4.1,Level 3,30:07:4d:3f:75:cf,2019-12-19 21:33:52.995 UTC
24,4.1,Level 3,30:07:4d:3f:75:cf,2019-12-19 21:33:52.994 UTC
25,4.1,Level 3,00:0a:f5:ba:c8:5c,2019-12-11 12:45:36.759 UTC
