,0,1,2,3
0,3.0,Level 3,08:ae:d6:c3:8e:7b,2019-12-07 19:16:36.084 UTC
1,3.0,Level 3,e0:98:61:91:ff:69,2019-12-03 13:54:25.123 UTC
2,3.0,Level 3,98:10:e8:9d:c9:7e,2019-12-22 10:45:39.475 UTC
3,3.0,Level 3,30:cb:f8:bc:cd:64,2019-12-03 15:07:20.474 UTC
4,3.0,Level 3,30:07:4d:d9:86:c9,2019-12-05 21:40:13.354 UTC
5,3.0,Level 3,6c:4d:73:cc:d2:22,2019-12-05 06:51:25.875 UTC
6,3.0,Level 3,dc:bf:e9:8a:f1:33,2019-12-03 12:27:52.868 UTC
7,3.0,Level 3,38:9a:f6:47:ce:f5,2019-12-11 17:44:37.252 UTC
8,3.0,Level 3,3c:01:ef:0c:34:39,2019-12-17 05:28:42.101 UTC
9,3.0,Level 3,0c:98:38:eb:7e:55,2019-12-01 10:19:38.533 UTC
10,3.0,Level 3,8c:45:00:af:7e:57,2019-12-19 08:02:08.917 UTC
11,3.0,Level 3,5c:51:88:f2:9f:c7,2019-12-14 21:17:47.007 UTC
12,3.0,Level 3,d4:c9:4b:b0:ee:f4,2019-12-24 20:12:49.431 UTC
13,3.0,Level 3,70:de:e2:5b:ef:64,2019-12-28 06:53:55.34 UTC
