,0,1,2,3
0,2.5,Level 3,78:00:9e:d7:50:d2,2019-12-07 10:53:36.458 UTC
1,2.5,Level 3,70:bb:e9:ea:ad:a1,2019-12-08 10:42:06.978 UTC
2,2.5,Level 3,48:49:c7:cd:9a:46,2019-12-11 17:23:27.459 UTC
3,2.5,Level 3,0c:b6:d2:3e:03:6e,2019-12-20 04:46:51.091 UTC
4,2.5,Level 3,b0:be:76:2f:41:47,2019-12-24 18:08:15.575 UTC
5,2.5,Level 3,f8:2d:7c:17:b5:b6,2019-12-01 10:05:06.077 UTC
6,2.5,Level 3,68:7d:6b:29:d6:2f,2019-12-03 10:41:30.998 UTC
7,2.5,Level 3,70:bb:e9:ea:ad:a1,2019-12-28 13:12:51.378 UTC
8,2.5,Level 3,6c:c7:ec:6d:22:89,2019-12-04 18:38:24.792 UTC
9,2.5,Level 3,94:fb:29:64:0c:39,2019-12-27 06:50:14.235 UTC
10,2.5,Level 3,88:b4:a6:f2:a2:39,2019-12-28 11:35:12.696 UTC
11,2.5,Level 3,f0:98:9d:ef:ae:dd,2019-12-29 10:17:48.409 UTC
12,2.5,Level 3,50:92:b9:b2:b2:fc,2019-12-03 06:19:43.398 UTC
13,2.5,Level 3,48:4b:aa:c6:00:af,2019-12-11 05:47:41.104 UTC
14,2.5,Level 3,40:b0:76:1c:ed:5d,2019-12-16 18:44:50.536 UTC
15,2.5,Level 3,38:9a:f6:08:92:a7,2019-12-23 12:23:09.138 UTC
16,2.5,Level 3,aa:8b:d3:4f:f0:cd,2019-12-03 07:06:45.934 UTC
17,2.5,Level 3,fc:64:3a:5d:d0:b4,2019-12-11 05:34:11.203 UTC
18,2.5,Level 3,2a:9a:be:ec:5d:9a,2019-12-18 08:48:22.339 UTC
19,2.5,Level 3,94:fb:29:64:04:75,2019-12-11 23:56:17.126 UTC
20,2.5,Level 3,70:bb:e9:ea:ad:a1,2019-12-13 09:07:33.086 UTC
21,2.5,Level 3,fc:64:3a:db:0c:0a,2019-12-24 04:43:49.126 UTC
22,2.5,Level 3,90:78:b2:22:dd:b1,2019-12-15 23:21:47.364 UTC
23,2.5,Level 3,b8:27:eb:11:6e:db,2019-12-10 02:41:43.34 UTC
24,2.5,Level 3,b0:be:76:2f:41:47,2019-12-23 19:06:34.352 UTC
25,2.5,Level 3,38:d4:0b:89:76:bb,2019-12-14 23:17:58.765 UTC
26,2.5,Level 3,a8:16:d0:6c:d4:3f,2019-12-07 01:22:15.269 UTC
27,2.5,Level 3,a8:34:6a:7b:16:e0,2019-12-03 18:19:15.768 UTC
28,2.5,Level 3,50:92:b9:24:d5:62,2019-12-04 09:49:06.106 UTC
29,2.5,Level 3,04:d4:c4:9e:1d:0e,2019-12-28 05:56:49.107 UTC
30,2.5,Level 3,b0:be:76:2f:41:47,2019-12-24 22:04:16.863 UTC
