,0,1,2,3
0,4.4,Level 3,f0:d7:aa:0c:1f:5c,2019-12-07 09:49:02.441 UTC
1,4.4,Level 3,0c:cb:85:8e:64:29,2019-12-28 18:21:28.279 UTC
2,4.4,Level 3,64:c2:de:91:8c:f5,2019-12-08 19:42:14.22 UTC
3,4.4,Level 3,94:65:2d:7b:29:42,2019-12-07 21:11:26.42 UTC
4,4.4,Level 3,dc:bf:e9:46:bf:8c,2019-12-15 07:47:06.311 UTC
5,4.4,Level 3,88:b4:a6:f3:98:a7,2019-12-16 12:35:28.497 UTC
6,4.4,Level 3,88:b4:a6:91:6e:95,2019-12-08 17:17:08.275 UTC
7,4.4,Level 3,08:8c:2c:3d:4c:80,2019-12-22 07:18:03.555 UTC
8,4.4,Level 3,a8:3e:0e:08:f3:fc,2019-12-04 19:16:25.64 UTC
9,4.4,Level 3,88:b4:a6:91:6e:95,2019-12-08 17:17:08.274 UTC
10,4.4,Level 3,d4:4d:a4:78:8b:19,2019-12-12 23:03:51.871 UTC
11,4.4,Level 3,90:63:3b:b8:53:e5,2019-12-15 18:39:10.856 UTC
12,4.4,Level 3,28:24:ff:ab:f2:07,2019-12-18 06:01:48.376 UTC
13,4.4,Level 3,58:d9:c3:18:d4:48,2019-12-01 01:44:34.339 UTC
14,4.4,Level 3,60:1d:91:83:23:d5,2019-12-10 11:13:38.581 UTC
15,4.4,Level 3,da:9f:f7:4e:e2:c5,2019-12-03 08:46:15.276 UTC
16,4.4,Level 3,c0:a6:00:e7:cb:8e,2019-12-25 17:34:53.429 UTC
17,4.4,Level 3,48:49:c7:c4:07:b0,2019-12-03 07:23:34.485 UTC
18,4.4,Level 3,60:1d:91:80:7c:e8,2019-12-27 00:36:14.424 UTC
19,4.4,Level 3,60:1d:91:83:23:d5,2019-12-24 22:29:43.873 UTC
20,4.4,Level 3,f0:d7:aa:0c:1f:5c,2019-12-07 09:49:02.44 UTC
21,4.4,Level 3,b4:f1:da:f8:af:5c,2019-12-23 07:37:24.977 UTC
22,4.4,Level 3,80:58:f8:72:c9:d6,2019-12-08 18:47:52.035 UTC
23,4.4,Level 3,28:24:ff:ab:f2:07,2019-12-12 05:11:42.323 UTC
24,4.4,Level 3,38:9a:f6:34:a7:75,2019-12-17 23:25:46.258 UTC
25,4.4,Level 3,d0:b1:28:98:84:95,2019-12-11 06:48:26.14 UTC
26,4.4,Level 3,50:92:b9:15:25:18,2019-12-13 17:37:52.29 UTC
27,4.4,Level 3,88:b2:91:bd:29:53,2019-12-29 23:20:46.525 UTC
28,4.4,Level 3,fc:64:3a:53:5e:28,2019-12-18 15:38:38.33 UTC
29,4.4,Level 3,f8:38:80:d5:51:89,2019-12-30 09:50:00.48 UTC
30,4.4,Level 3,58:e6:ba:45:df:5a,2019-12-14 09:43:37.585 UTC
31,4.4,Level 3,b4:f1:da:f8:af:5c,2019-12-23 07:37:46.608 UTC
32,4.4,Level 3,b4:f1:da:f8:af:5c,2019-12-23 07:37:46.609 UTC
33,4.4,Level 3,38:80:df:3c:58:6b,2019-12-10 15:28:03.515 UTC
34,4.4,Level 3,64:c7:53:48:95:ea,2019-12-06 15:35:24.825 UTC
35,4.4,Level 3,30:cb:f8:35:c0:01,2019-12-15 08:47:09.646 UTC
36,4.4,Level 3,8c:f1:12:c4:e6:20,2019-12-12 23:31:10.658 UTC
37,4.4,Level 3,70:fd:46:e2:79:6a,2019-12-01 11:10:03.326 UTC
38,4.4,Level 3,40:9b:cd:96:51:2d,2019-12-23 22:03:50.654 UTC
39,4.4,Level 3,70:fd:46:af:04:b8,2019-12-22 16:08:29.418 UTC
40,4.4,Level 3,b4:f1:da:f8:af:5c,2019-12-23 07:37:12.172 UTC
41,4.4,Level 3,bc:98:df:4b:d4:b8,2019-12-17 20:10:57.026 UTC
42,4.4,Level 3,e8:e8:b7:7e:7a:a6,2019-12-19 16:58:22.069 UTC
43,4.4,Level 3,b4:f1:da:f8:af:5c,2019-12-23 07:40:34.485 UTC
44,4.4,Level 3,80:ed:2c:19:d1:9d,2019-12-24 07:53:13.621 UTC
45,4.4,Level 3,b4:f1:da:f8:af:5c,2019-12-23 07:38:21.148 UTC
46,4.4,Level 3,3c:2e:ff:32:ad:66,2019-12-19 06:44:39.309 UTC
47,4.4,Level 3,a8:3e:0e:08:f3:fc,2019-12-04 19:16:25.641 UTC
48,4.4,Level 3,50:92:b9:15:25:18,2019-12-13 17:37:49.112 UTC
49,4.4,Level 3,00:b5:d0:78:9c:23,2019-12-20 16:38:13.042 UTC
50,4.4,Level 3,48:49:c7:c4:07:b0,2019-12-03 07:42:19.409 UTC
51,4.4,Level 3,48:49:c7:c4:07:b0,2019-12-03 07:42:19.41 UTC
52,4.4,Level 3,c0:11:73:cb:c8:02,2019-12-14 15:13:22.796 UTC
53,4.4,Level 3,7c:5c:f8:45:2f:72,2019-12-19 00:43:08.223 UTC
54,4.4,Level 3,08:8c:2c:3d:4c:80,2019-12-22 07:18:03.552 UTC
55,4.4,Level 3,30:cb:f8:3b:9b:81,2019-12-11 23:47:36.25 UTC
56,4.4,Level 3,00:b5:d0:78:9c:23,2019-12-20 16:38:14.976 UTC
57,4.4,Level 3,88:79:7e:b7:eb:47,2019-12-21 08:05:21.583 UTC
58,4.4,Level 3,fc:64:3a:d5:13:80,2019-12-21 14:31:15.574 UTC
59,4.4,Level 3,70:fd:46:18:f9:b6,2019-12-30 06:10:17.601 UTC
60,4.4,Level 3,b4:f1:da:f8:af:5c,2019-12-23 07:40:22.648 UTC
61,4.4,Level 3,70:fd:46:56:be:64,2019-12-13 14:41:29.2 UTC
62,4.4,Level 3,48:49:c7:c4:07:b0,2019-12-03 07:24:05.422 UTC
63,4.4,Level 3,30:d9:d9:d4:93:7f,2019-12-18 03:46:12.122 UTC
64,4.4,Level 3,88:b4:a6:f3:98:a7,2019-12-16 12:35:25.298 UTC
65,4.4,Level 3,00:57:c1:e9:16:a4,2019-12-28 14:56:03.738 UTC
66,4.4,Level 3,30:cb:f8:3b:9b:81,2019-12-11 23:47:36.251 UTC
67,4.4,Level 3,fc:64:3a:d5:13:80,2019-12-21 14:31:15.575 UTC
68,4.4,Level 3,38:9a:f6:34:a7:75,2019-12-17 23:31:11.173 UTC
69,4.4,Level 3,d4:63:c6:4e:72:5b,2019-12-20 23:41:41.735 UTC
70,4.4,Level 3,a8:16:d0:bd:da:d3,2019-12-28 23:03:34.076 UTC
71,4.4,Level 3,b4:f1:da:f8:af:5c,2019-12-28 08:44:07.748 UTC
72,4.4,Level 3,fc:64:3a:75:e9:16,2019-12-08 09:37:08.863 UTC
73,4.4,Level 3,40:9b:cd:98:da:10,2019-12-04 12:48:28.787 UTC
74,4.4,Level 3,90:63:3b:b8:53:e5,2019-12-15 18:39:10.855 UTC
75,4.4,Level 3,da:a1:19:8d:f5:26,2019-12-22 07:14:34.713 UTC
76,4.4,Level 3,b4:f1:da:f8:af:5c,2019-12-23 07:39:58.886 UTC
77,4.4,Level 3,58:e6:ba:45:df:5a,2019-12-14 09:43:37.584 UTC
78,4.4,Level 3,70:fd:46:56:be:64,2019-12-13 14:41:28.297 UTC
79,4.4,Level 3,b4:f1:da:f8:af:5c,2019-12-28 08:44:23.873 UTC
80,4.4,Level 3,ea:e2:7b:0b:fe:b6,2019-12-14 12:35:42.638 UTC
81,4.4,Level 3,24:c6:96:a7:cb:6f,2019-12-09 01:41:33.23 UTC
82,4.4,Level 3,7c:8b:b5:d9:02:6f,2019-12-09 06:51:29.253 UTC
83,4.4,Level 3,70:fd:46:0a:60:ee,2019-12-03 16:24:44.92 UTC
84,4.4,Level 3,70:fd:46:e2:79:6a,2019-12-01 11:10:03.318 UTC
85,4.4,Level 3,a8:db:03:9f:70:26,2019-12-26 02:27:11.693 UTC
86,4.4,Level 3,6c:c7:ec:fd:07:19,2019-12-09 22:41:00.364 UTC
87,4.4,Level 3,b4:f1:da:f8:af:5c,2019-12-18 07:23:29.943 UTC
88,4.4,Level 3,28:83:35:c0:10:ad,2019-12-08 18:04:40.168 UTC
89,4.4,Level 3,da:9f:f7:4e:e2:c5,2019-12-03 08:46:15.431 UTC
90,4.4,Level 3,f0:d7:aa:b4:5e:25,2019-12-17 23:29:24.445 UTC
