,0,1,2,3
0,4.4,Level 3,fc:64:3a:cd:a9:24,2019-12-16 03:37:18.915 UTC
1,4.4,Level 3,3c:2e:ff:32:ad:66,2019-12-17 07:53:32.766 UTC
2,4.4,Level 3,bc:98:df:ab:76:89,2019-12-15 13:07:45.586 UTC
3,4.4,Level 3,aa:f8:96:11:c8:6d,2019-12-16 08:02:43.007 UTC
4,4.4,Level 3,bc:98:df:ab:76:89,2019-12-10 11:02:24.992 UTC
5,4.4,Level 3,6a:85:e2:b8:c2:d9,2019-12-03 19:10:29.407 UTC
6,4.4,Level 3,1c:cc:d6:b5:64:05,2019-12-24 01:38:28.336 UTC
7,4.4,Level 3,48:49:c7:e8:2a:44,2019-12-06 11:19:38.64 UTC
8,4.4,Level 3,5a:4e:54:d1:88:0f,2019-12-14 07:42:32.595 UTC
9,4.4,Level 3,28:16:7f:20:f3:75,2019-12-19 21:21:06.843 UTC
10,4.4,Level 3,fc:64:3a:75:e9:16,2019-12-22 12:11:51.398 UTC
11,4.4,Level 3,b4:f1:da:f8:af:5c,2019-12-15 09:49:22.277 UTC
12,4.4,Level 3,fc:64:3a:2c:c1:56,2019-12-14 08:04:46.333 UTC
13,4.4,Level 3,fc:18:3c:93:90:b5,2019-12-22 08:57:33.48 UTC
14,4.4,Level 3,04:d6:aa:d0:02:b7,2019-12-15 19:47:41.481 UTC
15,4.4,Level 3,bc:98:df:89:f5:08,2019-12-24 06:45:19.461 UTC
16,4.4,Level 3,30:4b:07:90:7a:26,2019-12-19 18:00:12.129 UTC
17,4.4,Level 3,30:cb:f8:86:14:b2,2019-12-28 09:10:37.152 UTC
18,4.4,Level 3,6c:c7:ec:77:98:72,2019-12-13 17:26:36.683 UTC
19,4.4,Level 3,ca:61:70:94:52:67,2019-12-09 10:40:27.744 UTC
20,4.4,Level 3,70:fd:46:26:21:ca,2019-12-30 09:42:23.512 UTC
21,4.4,Level 3,68:c4:4d:81:6f:3b,2019-12-12 06:43:13.35 UTC
22,4.4,Level 3,a4:d9:31:2c:63:24,2019-12-06 10:54:39.46 UTC
23,4.4,Level 3,e8:93:09:82:65:a8,2019-12-04 10:22:28.773 UTC
24,4.4,Level 3,bc:98:df:f2:fd:80,2019-12-10 07:57:30.694 UTC
25,4.4,Level 3,6c:c7:ec:77:98:72,2019-12-13 17:26:33.667 UTC
26,4.4,Level 3,50:92:b9:ab:58:a4,2019-12-28 07:20:17.164 UTC
27,4.4,Level 3,40:9c:28:b2:e4:f0,2019-12-16 15:50:11.577 UTC
28,4.4,Level 3,a4:d9:31:ba:aa:25,2019-12-14 14:43:32.012 UTC
29,4.4,Level 3,5a:78:c4:0c:bc:1d,2019-12-16 23:31:21.569 UTC
30,4.4,Level 3,00:05:9e:96:a4:a6,2019-12-21 08:14:42.424 UTC
