,0,1,2,3
0,4.7,Level 3,ac:0d:1b:cb:76:f0,2019-12-23 13:23:07.823 UTC
1,4.7,Level 3,48:c7:96:30:60:9f,2019-12-30 13:42:24.701 UTC
2,4.7,Level 3,60:ab:67:82:eb:a8,2019-12-30 05:38:43.265 UTC
3,4.7,Level 3,90:73:5a:68:ed:6f,2019-12-28 03:19:37.303 UTC
4,4.7,Level 3,90:73:5a:68:ed:6f,2019-12-28 03:19:37.302 UTC
5,4.7,Level 3,5c:af:06:05:3f:15,2019-12-12 08:41:02.041 UTC
6,4.7,Level 3,64:20:0c:69:09:36,2019-12-01 08:13:49.638 UTC
7,4.7,Level 3,48:c7:96:1f:ec:1f,2019-12-07 14:53:28.293 UTC
8,4.7,Level 3,44:e4:ee:02:55:b7,2019-12-01 00:19:56.315 UTC
9,4.7,Level 3,da:a1:19:02:a1:8c,2019-12-05 02:10:08.219 UTC
10,4.7,Level 3,44:e4:ee:01:f7:c7,2019-12-28 10:00:12.582 UTC
11,4.7,Level 3,34:69:87:12:42:b9,2019-12-06 10:14:42.151 UTC
12,4.7,Level 3,30:4b:07:f3:c6:15,2019-12-07 06:42:57.138 UTC
13,4.7,Level 3,34:69:87:12:42:b9,2019-12-20 12:16:45.756 UTC
14,4.7,Level 3,00:0c:e7:ad:07:66,2019-12-19 02:39:52.125 UTC
15,4.7,Level 3,44:e4:ee:02:55:b7,2019-12-01 00:40:19.227 UTC
16,4.7,Level 3,50:92:b9:e6:06:c4,2019-12-18 01:49:48.121 UTC
17,4.7,Level 3,38:ca:da:40:b0:93,2019-12-07 23:21:30.089 UTC
18,4.7,Level 3,d4:63:c6:ea:dc:fd,2019-12-12 16:19:32.596 UTC
19,4.7,Level 3,a8:16:d0:a9:3a:83,2019-12-05 04:10:36.39 UTC
20,4.7,Level 3,38:80:df:83:c5:9a,2019-12-24 04:07:55.087 UTC
21,4.7,Level 3,38:9a:f6:39:9d:cb,2019-12-10 11:51:22.296 UTC
22,4.7,Level 3,88:29:9c:29:c6:cf,2019-12-17 11:39:11.359 UTC
23,4.7,Level 3,48:49:c7:68:39:cc,2019-12-07 20:12:52.402 UTC
24,4.7,Level 3,7c:8b:b5:af:f8:f3,2019-12-15 13:30:05.761 UTC
25,4.7,Level 3,44:e4:ee:02:55:b7,2019-12-10 23:26:54.374 UTC
26,4.7,Level 3,fc:64:3a:2c:aa:8e,2019-12-19 07:45:24.459 UTC
27,4.7,Level 3,aa:c9:75:c9:c2:f1,2019-12-12 00:56:18.28 UTC
28,4.7,Level 3,b0:6f:e0:08:b0:4e,2019-12-13 17:34:06.795 UTC
29,4.7,Level 3,ac:f6:f7:c9:72:d2,2019-12-29 15:38:04.971 UTC
30,4.7,Level 3,b8:27:eb:d5:29:27,2019-12-10 17:51:04.209 UTC
31,4.7,Level 3,30:4b:07:5e:c0:03,2019-12-23 14:15:28.82 UTC
32,4.7,Level 3,44:e4:ee:02:55:b7,2019-12-03 14:25:05.596 UTC
33,4.7,Level 3,10:d0:7a:7c:e0:65,2019-12-07 13:14:13.69 UTC
34,4.7,Level 3,b8:1d:aa:e4:96:2e,2019-12-15 18:41:02.563 UTC
35,4.7,Level 3,38:80:df:83:c5:9a,2019-12-23 04:43:47.129 UTC
36,4.7,Level 3,a0:10:81:04:48:06,2019-12-10 06:36:22.166 UTC
37,4.7,Level 3,dc:56:e7:82:e7:8a,2019-12-06 20:28:56.269 UTC
38,4.7,Level 3,dc:56:e7:82:e7:8a,2019-12-06 20:28:56.26 UTC
39,4.7,Level 3,38:80:df:83:c5:9a,2019-12-24 07:20:15.81 UTC
40,4.7,Level 3,cc:08:8d:34:7b:ed,2019-12-03 07:48:23.461 UTC
41,4.7,Level 3,fc:64:3a:84:44:4c,2019-12-11 05:49:33.098 UTC
42,4.7,Level 3,9a:e6:c7:94:bf:54,2019-12-04 23:39:54.352 UTC
43,4.7,Level 3,98:00:c6:65:14:ba,2019-12-29 13:15:53.707 UTC
44,4.7,Level 3,00:28:f8:50:11:17,2019-12-17 01:11:44.157 UTC
45,4.7,Level 3,68:a0:3e:98:91:17,2019-12-30 16:27:01.67 UTC
46,4.7,Level 3,3c:bb:fd:75:1c:f4,2019-12-09 07:04:58.503 UTC
47,4.7,Level 3,7c:8b:b5:5e:33:35,2019-12-15 07:29:14.256 UTC
48,4.7,Level 3,24:46:c8:5f:4d:ef,2019-12-23 08:31:07.384 UTC
49,4.7,Level 3,04:41:69:68:b2:de,2019-12-25 05:06:28.231 UTC
50,4.7,Level 3,dc:cf:96:c3:6f:b4,2019-12-13 04:56:32.314 UTC
51,4.7,Level 3,a0:32:99:7c:b9:01,2019-12-11 15:12:44.956 UTC
52,4.7,Level 3,14:a3:64:31:21:77,2019-12-28 14:53:34.539 UTC
53,4.7,Level 3,98:29:a6:a9:fe:66,2019-12-15 08:15:49.507 UTC
54,4.7,Level 3,d4:c9:4b:b9:64:1f,2019-12-16 05:48:01.222 UTC
55,4.7,Level 3,bc:e2:65:75:7f:81,2019-12-04 11:46:57.03 UTC
56,4.7,Level 3,5c:af:06:05:3f:15,2019-12-12 08:41:02.036 UTC
57,4.7,Level 3,dc:44:b6:07:a2:12,2019-12-25 07:03:02.241 UTC
58,4.7,Level 3,b8:27:eb:d5:29:27,2019-12-26 01:13:44.152 UTC
59,4.7,Level 3,70:fd:46:e5:9d:08,2019-12-22 02:23:28.175 UTC
60,4.7,Level 3,1a:cd:7c:aa:f9:12,2019-12-05 03:59:13.282 UTC
61,4.7,Level 3,7a:c2:02:f4:22:74,2019-12-11 05:42:23.293 UTC
62,4.7,Level 3,f0:d7:aa:6b:ae:39,2019-12-15 10:52:24.654 UTC
63,4.7,Level 3,90:78:b2:22:a9:fb,2019-12-16 02:37:16.179 UTC
64,4.7,Level 3,5c:af:06:30:fb:67,2019-12-28 06:10:35.397 UTC
65,4.7,Level 3,48:c7:96:43:28:d5,2019-12-03 00:16:41.163 UTC
66,4.7,Level 3,da:a1:19:f8:24:d8,2019-12-15 14:24:49.024 UTC
67,4.7,Level 3,34:69:87:12:42:b9,2019-12-21 10:19:14.483 UTC
68,4.7,Level 3,30:cb:f8:86:14:b2,2019-12-18 04:25:40.139 UTC
69,4.7,Level 3,5a:42:54:62:7c:ab,2019-12-29 06:08:28.553 UTC
70,4.7,Level 3,e8:91:20:88:c5:a0,2019-12-11 05:49:34.103 UTC
71,4.7,Level 3,30:cb:f8:86:14:b2,2019-12-12 06:26:29.212 UTC
72,4.7,Level 3,38:9a:f6:d9:bb:b3,2019-12-16 14:43:37.428 UTC
