,0,1,2,3
0,3.2,Level 3,38:80:df:70:d4:83,2019-12-18 18:31:14.389 UTC
1,3.2,Level 3,04:1b:6d:ee:c7:a6,2019-12-21 17:05:18.955 UTC
2,3.2,Level 3,fc:64:3a:92:b6:38,2019-12-30 18:33:27.94 UTC
3,3.2,Level 3,40:30:04:2a:cd:d8,2019-12-16 22:36:44.462 UTC
4,3.2,Level 3,ca:b3:fc:da:a4:20,2019-12-19 13:24:32.654 UTC
5,3.2,Level 3,50:c7:bf:e9:1f:9e,2019-12-13 03:31:46.218 UTC
6,3.2,Level 3,7c:89:56:42:08:66,2019-12-29 07:21:20.347 UTC
7,3.2,Level 3,68:7d:6b:02:95:e7,2019-12-28 05:25:10.159 UTC
8,3.2,Level 3,3a:9a:f6:9d:88:f9,2019-12-28 09:41:32.244 UTC
9,3.2,Level 3,48:2c:a0:de:ad:15,2019-12-01 12:03:37.743 UTC
10,3.2,Level 3,9c:d3:5b:42:e1:c8,2019-12-13 21:33:56.873 UTC
11,3.2,Level 3,70:fd:46:a4:ac:80,2019-12-26 13:24:31.566 UTC
12,3.2,Level 3,e4:7d:bd:d0:0f:97,2019-12-11 02:03:21.127 UTC
13,3.2,Level 3,8c:b8:4a:64:6b:68,2019-12-04 16:53:01.553 UTC
14,3.2,Level 3,bc:98:df:e1:28:f5,2019-12-22 19:27:41.324 UTC
15,3.2,Level 3,a8:b8:6e:2a:3a:1c,2019-12-06 14:29:00.815 UTC
16,3.2,Level 3,b8:c1:11:13:92:e1,2019-12-16 21:12:13.445 UTC
17,3.2,Level 3,b8:27:eb:6f:c2:6f,2019-12-04 01:42:13.241 UTC
18,3.2,Level 3,8c:fa:ba:42:c5:27,2019-12-30 16:15:22.323 UTC
19,3.2,Level 3,38:9a:f6:49:59:4f,2019-12-13 05:38:55.26 UTC
20,3.2,Level 3,e4:7d:bd:d0:0f:97,2019-12-08 01:03:19.1 UTC
21,3.2,Level 3,00:57:c1:ec:dd:79,2019-12-19 20:35:29.289 UTC
22,3.2,Level 3,fa:3e:b2:a9:63:e0,2019-12-15 14:05:39.924 UTC
23,3.2,Level 3,40:83:1d:5b:f7:f0,2019-12-30 20:27:31.166 UTC
24,3.2,Level 3,e4:7d:bd:d0:0f:97,2019-12-11 02:03:21.132 UTC
25,3.2,Level 3,da:0f:99:23:d7:ea,2019-12-01 12:55:58.824 UTC
26,3.2,Level 3,1a:8c:51:e4:59:89,2019-12-10 05:33:17.227 UTC
27,3.2,Level 3,b8:c1:11:13:92:e1,2019-12-16 21:12:13.449 UTC
28,3.2,Level 3,40:30:04:2a:cd:d8,2019-12-16 22:36:44.461 UTC
29,3.2,Level 3,70:a2:b3:dd:02:de,2019-12-06 01:26:13.153 UTC
30,3.2,Level 3,c8:38:70:7d:2b:d7,2019-12-11 12:45:19.55 UTC
31,3.2,Level 3,04:4b:ed:54:6a:0d,2019-12-05 22:30:37.901 UTC
32,3.2,Level 3,f8:e9:4e:51:fc:ff,2019-12-29 23:32:30.331 UTC
33,3.2,Level 3,30:4b:07:a1:c3:63,2019-12-11 07:17:26.35 UTC
34,3.2,Level 3,ca:d0:78:e7:81:1f,2019-12-30 14:26:29.396 UTC
35,3.2,Level 3,a8:16:d0:b6:55:9d,2019-12-11 11:34:26.392 UTC
36,3.2,Level 3,44:2b:03:7e:64:28,2019-12-03 05:36:09.213 UTC
37,3.2,Level 3,5a:06:ea:4f:ab:9d,2019-12-27 00:43:21.223 UTC
38,3.2,Level 3,da:78:81:15:06:7e,2019-12-03 17:41:19.414 UTC
39,3.2,Level 3,a8:51:5b:19:20:44,2019-12-01 12:41:29.925 UTC
40,3.2,Level 3,c8:d0:83:00:00:c0,2019-12-08 15:02:56.779 UTC
