,0,1,2,3
0,2.5,Level 3,38:9a:f6:3f:5a:01,2019-12-17 06:28:37.219 UTC
1,2.5,Level 3,da:34:eb:1e:55:3e,2019-12-25 19:55:57.362 UTC
2,2.5,Level 3,b8:27:eb:7f:a5:bc,2019-12-07 12:20:32.327 UTC
3,2.5,Level 3,d0:77:14:e7:6c:f2,2019-12-23 12:49:12.689 UTC
4,2.5,Level 3,7c:8b:b5:f2:7b:91,2019-12-13 23:37:42.403 UTC
5,2.5,Level 3,80:58:f8:0c:a0:01,2019-12-30 21:04:13.174 UTC
6,2.5,Level 3,7c:8b:b5:f2:7b:91,2019-12-13 23:37:42.402 UTC
7,2.5,Level 3,f4:06:16:e9:01:e8,2019-12-04 13:29:34.807 UTC
8,2.5,Level 3,48:49:c7:ed:68:70,2019-12-07 02:21:44.383 UTC
9,2.5,Level 3,a8:db:03:da:a5:c4,2019-12-16 04:06:25.259 UTC
10,2.5,Level 3,a8:db:03:da:a5:c4,2019-12-16 04:06:25.258 UTC
11,2.5,Level 3,60:14:66:a8:96:22,2019-12-28 23:15:13.168 UTC
12,2.5,Level 3,aa:ef:e4:46:b8:43,2019-12-13 19:46:06.122 UTC
13,2.5,Level 3,6c:2f:2c:10:2c:4e,2019-12-04 20:17:16.239 UTC
14,2.5,Level 3,00:9d:6b:14:b3:47,2019-12-24 19:07:03.74 UTC
15,2.5,Level 3,d4:63:c6:a7:43:96,2019-12-26 17:52:37.112 UTC
16,2.5,Level 3,40:b0:76:83:ac:87,2019-12-17 14:10:06.44 UTC
17,2.5,Level 3,40:b0:76:83:ac:87,2019-12-17 14:10:06.442 UTC
18,2.5,Level 3,8c:45:00:89:29:20,2019-12-09 06:25:37.221 UTC
19,2.5,Level 3,cc:61:e5:84:f7:82,2019-12-05 13:48:40.79 UTC
20,2.5,Level 3,a8:16:d0:b6:14:b9,2019-12-14 06:52:22.597 UTC
21,2.5,Level 3,0a:98:ed:60:9d:e6,2019-12-15 14:21:21.337 UTC
22,2.5,Level 3,28:83:35:fe:1c:55,2019-12-04 13:12:01.178 UTC
23,2.5,Level 3,64:a2:f9:bb:6e:2d,2019-12-09 05:56:04.258 UTC
24,2.5,Level 3,38:30:f9:6f:b9:f7,2019-12-28 19:50:53.892 UTC
25,2.5,Level 3,0a:98:ed:60:9d:e6,2019-12-15 14:21:16.457 UTC
26,2.5,Level 3,ac:0d:1b:e5:ea:24,2019-12-23 08:27:23.924 UTC
27,2.5,Level 3,fc:64:3a:b6:14:28,2019-12-08 17:19:10.944 UTC
28,2.5,Level 3,08:8c:2c:22:0e:05,2019-12-04 10:09:28.795 UTC
29,2.5,Level 3,24:f0:94:99:7b:8e,2019-12-17 18:57:26.661 UTC
30,2.5,Level 3,24:f0:94:99:7b:8e,2019-12-17 18:57:26.66 UTC
31,2.5,Level 3,9a:84:c7:e5:e0:46,2019-12-16 22:31:37.817 UTC
32,2.5,Level 3,a8:16:d0:b6:14:b9,2019-12-14 06:52:22.596 UTC
33,2.5,Level 3,04:d6:aa:dd:74:2b,2019-12-07 20:32:14.248 UTC
34,2.5,Level 3,ac:0d:1b:e5:ea:24,2019-12-23 08:27:23.923 UTC
35,2.5,Level 3,dc:08:0f:43:f5:40,2019-12-24 20:07:42.038 UTC
36,2.5,Level 3,bc:ff:eb:1a:af:07,2019-12-14 12:44:53.819 UTC
37,2.5,Level 3,d8:55:75:44:b1:df,2019-12-17 19:20:37.378 UTC
38,2.5,Level 3,5a:a1:ad:a6:c6:24,2019-12-08 18:45:51.767 UTC
39,2.5,Level 3,28:83:35:44:af:51,2019-12-04 17:10:49.822 UTC
40,2.5,Level 3,ca:8e:02:bf:0b:75,2019-12-15 14:31:43.245 UTC
41,2.5,Level 3,98:39:8e:90:15:01,2019-12-20 04:48:29.075 UTC
42,2.5,Level 3,64:c2:de:18:b0:a9,2019-12-23 15:13:41.493 UTC
43,2.5,Level 3,38:80:df:3a:4d:a6,2019-12-11 17:36:55.584 UTC
44,2.5,Level 3,da:98:fe:a9:b6:29,2019-12-10 21:00:31.121 UTC
45,2.5,Level 3,d4:63:c6:ae:ab:c7,2019-12-30 21:05:01.65 UTC
46,2.5,Level 3,28:83:35:44:af:51,2019-12-04 17:10:49.823 UTC
47,2.5,Level 3,44:91:60:87:71:47,2019-12-12 20:05:01.883 UTC
48,2.5,Level 3,38:9a:f6:ae:24:6f,2019-12-03 13:43:58.62 UTC
49,2.5,Level 3,ea:12:63:52:6c:c7,2019-12-16 19:39:48.011 UTC
50,2.5,Level 3,4a:af:a6:fa:b4:68,2019-12-30 20:08:56.002 UTC
51,2.5,Level 3,98:39:8e:90:15:01,2019-12-20 04:48:29.076 UTC
52,2.5,Level 3,fc:a6:21:d1:c3:2d,2019-12-16 13:47:17.439 UTC
53,2.5,Level 3,fc:a6:21:d1:c3:2d,2019-12-16 13:47:18.932 UTC
54,2.5,Level 3,44:91:60:87:71:47,2019-12-12 20:05:01.884 UTC
55,2.5,Level 3,b0:48:1a:b7:b7:39,2019-12-29 10:21:18.17 UTC
56,2.5,Level 3,48:49:c7:84:20:d8,2019-12-17 19:27:46.64 UTC
57,2.5,Level 3,bc:98:df:b1:6a:98,2019-12-16 13:12:33.577 UTC
58,2.5,Level 3,0c:cb:85:92:49:52,2019-12-14 16:15:36.272 UTC
59,2.5,Level 3,da:a1:19:13:a8:a6,2019-12-13 03:25:56.315 UTC
60,2.5,Level 3,7c:03:ab:b9:2c:e6,2019-12-20 00:46:28.305 UTC
61,2.5,Level 3,e4:9a:79:6c:19:57,2019-12-14 22:31:43.774 UTC
