,0,1,2,3
0,3.9,Level 3,d0:77:14:95:8a:14,2019-12-05 01:35:15.12 UTC
1,3.9,Level 3,70:ef:00:d6:32:91,2019-12-30 17:55:08.43 UTC
2,3.9,Level 3,0c:cb:85:c6:d6:77,2019-12-11 06:53:18.063 UTC
3,3.9,Level 3,70:fd:46:dd:a7:c6,2019-12-12 12:13:03.855 UTC
4,3.9,Level 3,fc:64:3a:a1:a5:24,2019-12-07 08:41:53.014 UTC
5,3.9,Level 3,dc:bf:e9:c9:98:8e,2019-12-08 12:46:25.893 UTC
6,3.9,Level 3,50:92:b9:9d:68:60,2019-12-29 23:54:07.426 UTC
7,3.9,Level 3,bc:98:df:87:39:25,2019-12-10 04:28:31.27 UTC
8,3.9,Level 3,7c:d6:61:b3:71:d3,2019-12-22 13:34:20.695 UTC
9,3.9,Level 3,10:be:f5:9e:66:1d,2019-12-30 22:58:56.125 UTC
10,3.9,Level 3,a8:51:5b:16:4b:14,2019-12-04 11:23:05.059 UTC
11,3.9,Level 3,00:57:c1:ed:db:3e,2019-12-03 13:39:16.416 UTC
12,3.9,Level 3,dc:a4:ca:4d:f9:7f,2019-12-12 09:34:20.965 UTC
13,3.9,Level 3,bc:98:df:20:9e:fb,2019-12-21 14:00:04.268 UTC
14,3.9,Level 3,fc:64:3a:8d:87:c6,2019-12-29 19:26:45.725 UTC
15,3.9,Level 3,70:fd:46:a5:e6:78,2019-12-06 18:56:43.316 UTC
16,3.9,Level 3,90:63:3b:3e:fc:6e,2019-12-15 15:58:20.325 UTC
17,3.9,Level 3,f0:d7:aa:d7:8b:4f,2019-12-17 19:59:08.272 UTC
18,3.9,Level 3,0a:7b:70:4d:b0:65,2019-12-23 06:31:22.273 UTC
19,3.9,Level 3,f4:60:e2:d2:6d:06,2019-12-01 09:50:21.058 UTC
20,3.9,Level 3,70:fd:46:e5:ae:30,2019-12-08 23:41:55.404 UTC
21,3.9,Level 3,28:83:35:ad:8b:3f,2019-12-18 20:56:24.628 UTC
22,3.9,Level 3,f0:d7:aa:56:c6:b3,2019-12-08 06:48:11.252 UTC
23,3.9,Level 3,44:91:60:43:5b:5c,2019-12-23 21:04:18.38 UTC
24,3.9,Level 3,40:9b:cd:96:51:a1,2019-12-03 01:00:34.34 UTC
25,3.9,Level 3,0a:61:93:e3:ef:33,2019-12-04 00:45:26.41 UTC
26,3.9,Level 3,0a:a0:9b:3b:1f:f4,2019-12-04 07:07:07.107 UTC
27,3.9,Level 3,f4:f5:24:9b:9c:cf,2019-12-10 18:44:51.869 UTC
28,3.9,Level 3,d0:16:b4:b0:80:a0,2019-12-14 00:53:10.091 UTC
29,3.9,Level 3,fa:56:9e:5d:68:06,2019-12-15 23:12:53.381 UTC
30,3.9,Level 3,5c:c9:d3:bc:7a:cd,2019-12-03 21:53:04.305 UTC
31,3.9,Level 3,d4:4d:a4:c2:1c:3d,2019-12-07 18:20:58.484 UTC
32,3.9,Level 3,fc:64:3a:3a:a2:f0,2019-12-28 15:11:04.502 UTC
33,3.9,Level 3,64:c2:de:3e:43:31,2019-12-13 09:47:43.165 UTC
34,3.9,Level 3,98:ca:33:b3:9b:b7,2019-12-13 17:09:03.87 UTC
35,3.9,Level 3,ca:2c:f3:ca:31:42,2019-12-26 06:01:09.476 UTC
36,3.9,Level 3,fc:64:3a:0e:9f:72,2019-12-16 13:11:35.42 UTC
37,3.9,Level 3,10:d0:7a:4f:99:08,2019-12-14 01:48:28.213 UTC
38,3.9,Level 3,fc:64:3a:fc:7c:ce,2019-12-17 19:34:37.265 UTC
39,3.9,Level 3,d4:63:c6:a7:12:13,2019-12-06 08:45:47.826 UTC
40,3.9,Level 3,38:9a:f6:86:b5:f1,2019-12-15 10:59:54.728 UTC
41,3.9,Level 3,0c:cb:85:c7:8a:44,2019-12-16 23:58:09.418 UTC
42,3.9,Level 3,70:fd:46:06:8d:cc,2019-12-18 14:25:30.342 UTC
43,3.9,Level 3,04:1b:6d:aa:64:38,2019-12-30 11:02:17.099 UTC
44,3.9,Level 3,ac:1f:74:25:38:98,2019-12-20 11:11:20.563 UTC
45,3.9,Level 3,fc:15:b4:a8:af:cf,2019-12-16 16:33:23.558 UTC
46,3.9,Level 3,bc:98:df:87:39:25,2019-12-16 01:54:26.228 UTC
47,3.9,Level 3,48:49:c7:e8:6d:aa,2019-12-06 08:32:41.387 UTC
48,3.9,Level 3,a4:50:46:53:8e:97,2019-12-01 14:18:38.383 UTC
49,3.9,Level 3,14:a3:64:9c:53:64,2019-12-02 22:06:11.254 UTC
50,3.9,Level 3,dc:bf:e9:3e:41:c5,2019-12-21 09:32:22.223 UTC
51,3.9,Level 3,7a:18:9d:e0:9e:85,2019-12-23 21:46:23.039 UTC
52,3.9,Level 3,30:6a:85:b6:4f:68,2019-12-29 16:29:32.838 UTC
53,3.9,Level 3,10:be:f5:9e:66:1d,2019-12-30 16:17:22.124 UTC
54,3.9,Level 3,9c:64:8b:58:93:57,2019-12-01 12:05:37.614 UTC
55,3.9,Level 3,6c:c7:ec:90:a9:00,2019-12-14 02:04:26.109 UTC
56,3.9,Level 3,fc:64:3a:25:0a:56,2019-12-14 15:37:04.61 UTC
57,3.9,Level 3,da:a1:19:03:a5:e9,2019-12-26 15:17:10.252 UTC
58,3.9,Level 3,58:c5:cb:8a:30:f9,2019-12-03 18:23:24.316 UTC
59,3.9,Level 3,d0:77:14:e3:e1:c5,2019-12-11 23:22:31.712 UTC
60,3.9,Level 3,b0:6e:bf:29:96:51,2019-12-27 00:22:26.146 UTC
61,3.9,Level 3,58:b1:0f:44:d9:ec,2019-12-05 02:10:18.386 UTC
62,3.9,Level 3,f0:d7:aa:ec:61:3c,2019-12-15 08:55:22.496 UTC
63,3.9,Level 3,70:ef:00:d6:32:91,2019-12-30 17:55:08.429 UTC
64,3.9,Level 3,8c:f1:12:5a:11:52,2019-12-09 11:33:28.539 UTC
65,3.9,Level 3,fc:64:3a:4d:70:90,2019-12-20 11:18:37.652 UTC
66,3.9,Level 3,20:ee:28:d9:84:81,2019-12-06 16:42:03.704 UTC
67,3.9,Level 3,8c:0d:76:0f:5f:71,2019-12-19 08:42:22.43 UTC
68,3.9,Level 3,24:4c:e3:3e:38:02,2019-12-29 13:09:57.187 UTC
69,3.9,Level 3,44:91:60:7c:22:02,2019-12-30 09:00:14.41 UTC
70,3.9,Level 3,fc:15:b4:a8:af:cf,2019-12-06 17:10:39.162 UTC
71,3.9,Level 3,10:be:f5:9e:66:1d,2019-12-29 02:51:47.301 UTC
72,3.9,Level 3,8c:45:00:85:69:de,2019-12-30 16:36:50.773 UTC
73,3.9,Level 3,40:9b:cd:96:51:a1,2019-12-01 10:15:57.741 UTC
74,3.9,Level 3,f0:8a:76:b9:59:ba,2019-12-08 13:11:49.946 UTC
75,3.9,Level 3,d0:b1:28:4e:b4:17,2019-12-24 19:07:40.634 UTC
76,3.9,Level 3,7c:8b:b5:be:d8:a1,2019-12-08 02:42:28.268 UTC
77,3.9,Level 3,64:32:a8:12:b9:20,2019-12-12 12:54:11.696 UTC
78,3.9,Level 3,98:ca:33:b3:9b:b7,2019-12-13 17:08:44.765 UTC
79,3.9,Level 3,10:be:f5:9e:66:1d,2019-12-28 00:50:35.377 UTC
80,3.9,Level 3,04:52:f3:c2:1b:7f,2019-12-01 15:33:19.451 UTC
81,3.9,Level 3,b4:ef:39:f3:2e:f7,2019-12-19 06:20:28.384 UTC
82,3.9,Level 3,10:be:f5:9e:66:1d,2019-12-28 23:28:35.457 UTC
83,3.9,Level 3,4a:7e:3f:5d:9e:57,2019-12-29 07:24:31.046 UTC
84,3.9,Level 3,90:73:5a:3e:88:29,2019-12-13 01:24:15.146 UTC
85,3.9,Level 3,7c:8b:b5:d6:13:c1,2019-12-20 19:08:18.327 UTC
86,3.9,Level 3,10:be:f5:9e:66:1d,2019-12-29 11:55:16.5 UTC
87,3.9,Level 3,48:49:c7:ac:a6:66,2019-12-03 08:21:22.468 UTC
88,3.9,Level 3,f4:b7:e2:d6:5c:03,2019-12-07 17:56:50.555 UTC
89,3.9,Level 3,10:be:f5:9e:66:1d,2019-12-28 02:45:49.312 UTC
90,3.9,Level 3,fc:64:3a:81:2b:a8,2019-12-30 16:09:48.976 UTC
91,3.9,Level 3,48:49:c7:72:4f:4a,2019-12-03 01:31:08.309 UTC
92,3.9,Level 3,d4:a3:3d:b3:c2:2d,2019-12-12 13:13:40.768 UTC
93,3.9,Level 3,3a:d1:0d:50:a0:b7,2019-12-12 22:08:16.589 UTC
94,3.9,Level 3,30:4b:07:33:60:32,2019-12-23 09:25:12.718 UTC
95,3.9,Level 3,70:bb:e9:d6:85:fb,2019-12-27 22:23:45.139 UTC
96,3.9,Level 3,30:cb:f8:39:c5:25,2019-12-06 19:57:34.993 UTC
97,3.9,Level 3,90:32:4b:c8:8e:69,2019-12-08 13:55:20.269 UTC
98,3.9,Level 3,10:d0:7a:4f:99:08,2019-12-18 19:21:55.062 UTC
99,3.9,Level 3,10:98:c3:a7:9a:39,2019-12-21 22:24:29.491 UTC
100,3.9,Level 3,bc:ff:eb:62:8a:7b,2019-12-10 23:23:27.105 UTC
101,3.9,Level 3,04:1b:6d:ae:04:1b,2019-12-11 10:39:55.28 UTC
102,3.9,Level 3,14:32:d1:16:b5:d8,2019-12-17 02:29:14.215 UTC
103,3.9,Level 3,da:a1:19:cd:14:f8,2019-12-22 09:11:09.851 UTC
