,0,1,2,3
0,5.0,Level 3,08:8c:2c:ee:f5:e2,2019-12-24 18:52:36.295 UTC
1,5.0,Level 3,40:26:19:a9:8f:79,2019-12-26 23:05:41.27 UTC
2,5.0,Level 3,28:83:35:28:74:53,2019-12-04 17:57:09.21 UTC
3,5.0,Level 3,7c:5c:f8:59:c1:44,2019-12-20 08:05:47.507 UTC
4,5.0,Level 3,5a:e5:45:23:ef:43,2019-12-12 14:45:18.495 UTC
5,5.0,Level 3,84:a1:34:a3:47:65,2019-12-11 19:16:44.552 UTC
6,5.0,Level 3,bc:98:df:4b:d4:b8,2019-12-17 18:56:29.74 UTC
7,5.0,Level 3,10:d0:7a:7c:e0:65,2019-12-28 23:18:50.298 UTC
8,5.0,Level 3,80:82:23:01:ff:c5,2019-12-04 19:28:35.497 UTC
9,5.0,Level 3,48:51:69:02:91:e2,2019-12-04 01:31:34.121 UTC
10,5.0,Level 3,dc:bf:e9:ce:c3:b1,2019-12-06 17:56:32.569 UTC
11,5.0,Level 3,7c:8b:b5:c6:3b:9d,2019-12-13 13:58:34.361 UTC
12,5.0,Level 3,84:ad:8d:d0:dd:8e,2019-12-24 01:16:24.33 UTC
13,5.0,Level 3,e0:5f:45:d1:bc:91,2019-12-03 14:30:57.494 UTC
14,5.0,Level 3,f4:06:16:dd:1a:68,2019-12-16 17:39:03.189 UTC
15,5.0,Level 3,e4:11:5b:90:32:6e,2019-12-17 22:44:01.708 UTC
16,5.0,Level 3,58:d9:c3:bd:9e:33,2019-12-12 17:21:01.537 UTC
17,5.0,Level 3,70:fd:46:0a:60:ee,2019-12-17 18:08:47.177 UTC
18,5.0,Level 3,2c:59:8a:67:d7:d6,2019-12-07 21:12:47.129 UTC
19,5.0,Level 3,7c:5c:f8:59:c1:44,2019-12-08 01:15:08.255 UTC
20,5.0,Level 3,fa:33:7c:76:1b:a4,2019-12-22 22:57:20.016 UTC
21,5.0,Level 3,44:80:eb:77:78:f1,2019-12-15 19:45:16.101 UTC
22,5.0,Level 3,60:1d:91:83:c0:b0,2019-12-20 20:07:53.216 UTC
23,5.0,Level 3,8c:f1:12:c3:d7:b2,2019-12-16 08:26:06.538 UTC
24,5.0,Level 3,40:26:19:a9:8f:79,2019-12-18 16:31:10.581 UTC
25,5.0,Level 3,da:a1:19:bf:54:3e,2019-12-06 18:05:13.73 UTC
26,5.0,Level 3,2c:59:8a:67:d7:d6,2019-12-07 21:28:31.736 UTC
27,5.0,Level 3,24:18:1d:ec:b2:cf,2019-12-25 20:24:22.871 UTC
28,5.0,Level 3,40:9b:cd:96:51:2d,2019-12-22 06:28:53.204 UTC
29,5.0,Level 3,40:9b:cd:98:da:10,2019-12-28 01:37:42.381 UTC
30,5.0,Level 3,d4:c9:4b:df:bd:6e,2019-12-14 19:32:27.111 UTC
31,5.0,Level 3,8c:f7:10:52:0e:84,2019-12-15 21:48:19.446 UTC
32,5.0,Level 3,dc:bf:e9:d1:eb:1d,2019-12-11 15:57:20.661 UTC
33,5.0,Level 3,8c:f1:12:c3:d7:b2,2019-12-16 08:26:06.556 UTC
34,5.0,Level 3,7c:5c:f8:59:c1:44,2019-12-20 08:05:47.506 UTC
35,5.0,Level 3,c0:f4:e6:32:b3:88,2019-12-04 04:23:45.175 UTC
36,5.0,Level 3,bc:98:df:ab:76:89,2019-12-04 15:02:07.849 UTC
37,5.0,Level 3,40:4d:7f:d9:df:99,2019-12-01 12:37:41.465 UTC
38,5.0,Level 3,b8:57:d8:4d:ac:68,2019-12-05 15:52:24.465 UTC
39,5.0,Level 3,4c:57:ca:81:2a:be,2019-12-19 15:16:10.996 UTC
40,5.0,Level 3,48:49:c7:68:e4:e2,2019-12-23 22:32:21.753 UTC
41,5.0,Level 3,08:8c:2c:e8:c9:22,2019-12-09 17:38:48.324 UTC
42,5.0,Level 3,88:b4:a6:9b:19:7d,2019-12-12 22:56:04.295 UTC
43,5.0,Level 3,1a:0d:c4:f6:24:21,2019-12-14 18:14:50.218 UTC
44,5.0,Level 3,00:57:c1:ea:01:ef,2019-12-03 19:51:59.936 UTC
45,5.0,Level 3,38:9a:f6:a7:45:f3,2019-12-16 17:09:23.737 UTC
46,5.0,Level 3,e8:93:09:82:65:a8,2019-12-19 23:12:49.55 UTC
47,5.0,Level 3,70:fd:46:a5:47:ba,2019-12-21 21:36:12.22 UTC
48,5.0,Level 3,04:1b:6d:a9:bc:53,2019-12-24 16:46:43.621 UTC
49,5.0,Level 3,2c:59:8a:67:d7:d6,2019-12-07 22:11:39.9 UTC
50,5.0,Level 3,88:b4:a6:9b:19:7d,2019-12-12 22:56:04.294 UTC
51,5.0,Level 3,00:57:c1:ea:01:ef,2019-12-03 19:51:59.937 UTC
52,5.0,Level 3,60:1d:91:83:c0:b0,2019-12-20 20:07:53.215 UTC
53,5.0,Level 3,48:49:c7:ce:e4:dc,2019-12-14 21:21:50.252 UTC
54,5.0,Level 3,58:d9:c3:bd:9e:33,2019-12-12 17:21:01.538 UTC
55,5.0,Level 3,f8:e9:4e:90:51:75,2019-12-28 12:38:53.624 UTC
56,5.0,Level 3,a8:96:75:a5:fc:60,2019-12-27 21:17:21.715 UTC
57,5.0,Level 3,e0:dc:ff:32:ea:1f,2019-12-17 22:55:14.172 UTC
58,5.0,Level 3,7c:8b:b5:bc:dc:21,2019-12-26 19:30:37.566 UTC
59,5.0,Level 3,d4:c9:4b:df:bd:6e,2019-12-14 19:32:27.098 UTC
60,5.0,Level 3,fa:ad:d5:b7:28:77,2019-12-08 21:37:49.001 UTC
61,5.0,Level 3,8c:f7:10:52:0e:84,2019-12-15 21:48:19.445 UTC
62,5.0,Level 3,4c:57:ca:81:2a:be,2019-12-19 15:16:10.997 UTC
63,5.0,Level 3,28:16:7f:e8:08:6c,2019-12-15 20:47:47.899 UTC
64,5.0,Level 3,7c:5c:f8:59:c1:44,2019-12-26 16:38:02.794 UTC
65,5.0,Level 3,48:49:c7:d0:dc:32,2019-12-09 17:53:00.678 UTC
66,5.0,Level 3,34:42:62:d1:5b:0a,2019-12-11 19:57:27.002 UTC
67,5.0,Level 3,b8:c1:11:b4:ea:71,2019-12-29 20:57:00.118 UTC
68,5.0,Level 3,e4:11:5b:90:32:6e,2019-12-17 22:44:01.707 UTC
69,5.0,Level 3,88:79:7e:e6:7e:7b,2019-12-17 07:46:06.918 UTC
70,5.0,Level 3,7c:5c:f8:45:2f:72,2019-12-14 00:34:23.213 UTC
71,5.0,Level 3,1a:0d:c4:f6:24:21,2019-12-14 18:14:50.217 UTC
72,5.0,Level 3,68:c4:4d:60:9f:ea,2019-12-13 11:43:14.188 UTC
73,5.0,Level 3,2c:0e:3d:73:b6:75,2019-12-25 23:18:39.103 UTC
74,5.0,Level 3,44:80:eb:77:78:f1,2019-12-15 19:45:16.103 UTC
75,5.0,Level 3,9a:70:43:5a:5d:f8,2019-12-14 12:21:05.201 UTC
76,5.0,Level 3,2c:59:8a:67:d7:d6,2019-12-07 22:08:42.249 UTC
77,5.0,Level 3,dc:56:e7:73:d3:76,2019-12-30 18:12:53.833 UTC
78,5.0,Level 3,e8:93:09:82:65:a8,2019-12-19 23:12:49.549 UTC
79,5.0,Level 3,7c:5c:f8:45:2f:72,2019-12-09 00:47:36.242 UTC
80,5.0,Level 3,f4:06:16:dd:1a:68,2019-12-16 17:39:04.822 UTC
81,5.0,Level 3,f4:06:16:e7:16:8b,2019-12-14 19:07:09.287 UTC
82,5.0,Level 3,48:49:c7:68:e4:e2,2019-12-23 22:32:21.727 UTC
83,5.0,Level 3,dc:bf:e9:d1:eb:1d,2019-12-11 15:57:20.125 UTC
84,5.0,Level 3,5a:e5:45:23:ef:43,2019-12-12 14:45:18.494 UTC
85,5.0,Level 3,3c:dc:bc:cb:e2:ef,2019-12-10 17:19:45.032 UTC
86,5.0,Level 3,dc:bf:e9:ce:c3:b1,2019-12-06 17:56:32.568 UTC
87,5.0,Level 3,38:9a:f6:a7:45:f3,2019-12-16 17:09:26.924 UTC
88,5.0,Level 3,bc:98:df:89:bf:8b,2019-12-16 09:43:01.833 UTC
89,5.0,Level 3,90:06:28:d8:fa:a5,2019-12-06 18:50:44.262 UTC
90,5.0,Level 3,fc:a6:21:5b:14:8c,2019-12-29 20:59:46.821 UTC
91,5.0,Level 3,7c:5c:f8:59:c1:44,2019-12-06 16:05:59.998 UTC
92,5.0,Level 3,70:3a:51:1b:9d:68,2019-12-16 18:51:16.917 UTC
93,5.0,Level 3,a4:07:b6:08:4e:e9,2019-12-21 23:15:40.304 UTC
94,5.0,Level 3,dc:56:e7:73:d3:76,2019-12-30 18:12:53.834 UTC
95,5.0,Level 3,3a:af:4f:3c:46:d4,2019-12-29 12:39:08.37 UTC
96,5.0,Level 3,24:fb:65:ce:ff:17,2019-12-19 13:34:21.342 UTC
97,5.0,Level 3,f0:d1:a9:e3:18:f1,2019-12-09 19:46:59.981 UTC
98,5.0,Level 3,b0:70:2d:86:30:7c,2019-12-24 17:58:50.158 UTC
99,5.0,Level 3,10:d0:7a:7c:e0:65,2019-12-14 11:06:04.002 UTC
100,5.0,Level 3,ca:93:f3:0a:af:0b,2019-12-17 20:24:37.416 UTC
101,5.0,Level 3,94:65:2d:c7:28:51,2019-12-26 19:22:53.575 UTC
102,5.0,Level 3,f4:f5:24:55:29:8d,2019-12-12 15:50:36.719 UTC
103,5.0,Level 3,50:92:b9:aa:a1:f8,2019-12-15 22:43:31.428 UTC
104,5.0,Level 3,24:05:0f:5e:55:78,2019-12-19 08:54:57.341 UTC
105,5.0,Level 3,fc:64:3a:75:e9:16,2019-12-16 12:11:19.512 UTC
106,5.0,Level 3,7a:b0:b2:cd:bd:31,2019-12-05 23:20:25.328 UTC
107,5.0,Level 3,30:57:14:58:de:0c,2019-12-29 16:28:58.255 UTC
108,5.0,Level 3,64:70:33:f0:de:7b,2019-12-22 14:57:40.408 UTC
109,5.0,Level 3,a8:16:d0:a6:59:eb,2019-12-12 22:34:14.666 UTC
110,5.0,Level 3,00:5b:94:48:79:e0,2019-12-29 18:34:46.143 UTC
111,5.0,Level 3,90:73:5a:25:eb:71,2019-12-16 19:22:30.521 UTC
112,5.0,Level 3,e4:11:5b:90:32:6e,2019-12-13 10:43:15.87 UTC
113,5.0,Level 3,90:73:5a:25:eb:71,2019-12-21 22:12:17.443 UTC
114,5.0,Level 3,10:d0:7a:7c:e0:65,2019-12-30 22:57:05.315 UTC
115,5.0,Level 3,a8:16:d0:a6:59:eb,2019-12-12 22:34:14.682 UTC
116,5.0,Level 3,fc:64:3a:21:0c:46,2019-12-09 20:31:58.515 UTC
117,5.0,Level 3,98:39:8e:32:a9:e9,2019-12-28 12:08:52.232 UTC
118,5.0,Level 3,64:32:a8:6b:e4:1e,2019-12-05 20:13:40.31 UTC
