,0,1,2,3
0,3.4,Level 3,24:46:c8:b2:02:6d,2019-12-04 09:52:48.951 UTC
1,3.4,Level 3,40:4d:7f:b9:d8:73,2019-12-23 03:58:21.243 UTC
2,3.4,Level 3,50:3e:aa:33:18:c3,2019-12-07 10:47:04.637 UTC
3,3.4,Level 3,50:3e:aa:33:18:c3,2019-12-11 04:41:00.159 UTC
4,3.4,Level 3,50:3e:aa:33:18:c3,2019-12-08 04:44:50.271 UTC
5,3.4,Level 3,fc:64:3a:2e:0e:14,2019-12-09 23:15:00.289 UTC
6,3.4,Level 3,50:3e:aa:33:18:c3,2019-12-12 01:55:08.165 UTC
7,3.4,Level 3,f8:2d:7c:53:e7:ee,2019-12-23 14:34:03.769 UTC
8,3.4,Level 3,50:3e:aa:33:18:c3,2019-12-09 02:55:20.124 UTC
9,3.4,Level 3,6c:c7:ec:10:af:74,2019-12-01 12:59:48.927 UTC
10,3.4,Level 3,9c:e0:63:45:50:76,2019-12-18 14:50:26.83 UTC
11,3.4,Level 3,2a:b2:ff:76:d7:51,2019-12-29 18:58:51.99 UTC
12,3.4,Level 3,68:7d:6b:3d:50:97,2019-12-05 12:17:33.027 UTC
13,3.4,Level 3,50:3e:aa:33:18:c3,2019-12-17 02:37:51.17 UTC
14,3.4,Level 3,48:49:c7:df:5d:ec,2019-12-12 02:37:23.378 UTC
15,3.4,Level 3,b4:9c:df:71:2a:8e,2019-12-22 14:45:30.153 UTC
16,3.4,Level 3,44:80:eb:43:06:d2,2019-12-08 14:10:42.3 UTC
17,3.4,Level 3,70:fd:46:69:1e:ee,2019-12-11 12:37:21.837 UTC
18,3.4,Level 3,50:3e:aa:33:18:c3,2019-12-12 01:44:53.203 UTC
19,3.4,Level 3,d4:63:c6:4a:38:4e,2019-12-08 17:38:21.202 UTC
20,3.4,Level 3,da:61:44:1e:7e:f2,2019-12-28 18:45:47.629 UTC
21,3.4,Level 3,f4:5c:89:8c:4f:83,2019-12-12 01:50:01.307 UTC
22,3.4,Level 3,e0:37:bf:1b:dd:d4,2019-12-18 04:58:41.2 UTC
23,3.4,Level 3,98:39:8e:e2:e7:99,2019-12-20 13:43:04.723 UTC
24,3.4,Level 3,60:ab:67:fc:83:d3,2019-12-09 09:47:17.256 UTC
25,3.4,Level 3,fc:64:3a:3a:f3:b2,2019-12-08 01:01:34.328 UTC
26,3.4,Level 3,60:1d:91:04:e5:ee,2019-12-09 23:28:49.494 UTC
27,3.4,Level 3,38:9a:f6:d1:b0:67,2019-12-21 00:24:10.761 UTC
28,3.4,Level 3,f0:d7:aa:b1:1a:fb,2019-12-19 14:30:25.686 UTC
