,0,1,2,3
0,3.8,Level 3,74:b5:87:c2:4c:bd,2019-12-07 15:02:23.856 UTC
1,3.8,Level 3,58:d9:c3:d7:11:58,2019-12-22 07:31:41.073 UTC
2,3.8,Level 3,30:4b:07:0c:3d:9b,2019-12-12 09:00:36.588 UTC
3,3.8,Level 3,ea:ed:fc:5f:d4:33,2019-12-03 08:53:25.622 UTC
4,3.8,Level 3,aa:7c:2f:67:a0:36,2019-12-24 08:57:02.881 UTC
5,3.8,Level 3,98:39:8e:a9:c5:63,2019-12-04 11:47:39.742 UTC
6,3.8,Level 3,64:32:a8:59:2d:10,2019-12-15 17:00:51 UTC
7,3.8,Level 3,24:46:c8:2d:fd:94,2019-12-25 21:43:43.065 UTC
8,3.8,Level 3,44:91:60:40:10:5b,2019-12-30 21:14:15.186 UTC
9,3.8,Level 3,f4:0e:22:82:2f:b2,2019-12-30 14:56:56.04 UTC
10,3.8,Level 3,58:d9:c3:ce:d9:05,2019-12-27 04:38:31.18 UTC
11,3.8,Level 3,da:6c:c4:dd:29:89,2019-12-04 19:01:45.887 UTC
12,3.8,Level 3,48:3b:38:9d:22:ad,2019-12-07 07:53:20.764 UTC
13,3.8,Level 3,98:09:cf:0e:02:eb,2019-12-14 15:34:22.748 UTC
14,3.8,Level 3,8a:05:80:dc:f5:14,2019-12-16 15:06:35.149 UTC
15,3.8,Level 3,3c:2e:ff:bb:1d:ac,2019-12-21 20:42:47.725 UTC
16,3.8,Level 3,c0:8c:71:9d:cd:75,2019-12-07 00:01:12.297 UTC
17,3.8,Level 3,7c:8b:b5:94:d0:d7,2019-12-17 15:54:35.316 UTC
18,3.8,Level 3,7c:8b:b5:b0:b9:91,2019-12-09 08:20:30.36 UTC
19,3.8,Level 3,e4:7d:bd:58:ca:e5,2019-12-18 16:03:54.134 UTC
20,3.8,Level 3,30:07:4d:f8:05:1d,2019-12-01 06:36:22.248 UTC
21,3.8,Level 3,2a:15:fb:4d:5b:4d,2019-12-05 21:53:26.925 UTC
22,3.8,Level 3,00:05:9e:97:1d:a6,2019-12-07 11:03:30.216 UTC
23,3.8,Level 3,fa:91:d2:e9:10:39,2019-12-16 05:54:21.234 UTC
24,3.8,Level 3,f0:d7:aa:4e:4c:8f,2019-12-18 15:53:45.555 UTC
25,3.8,Level 3,7c:46:85:ba:4a:ea,2019-12-03 18:10:14.125 UTC
26,3.8,Level 3,28:83:35:0b:58:1b,2019-12-04 12:50:39.98 UTC
27,3.8,Level 3,b4:f7:a1:a4:2f:31,2019-12-11 22:39:15.733 UTC
28,3.8,Level 3,40:78:6a:5d:ff:98,2019-12-15 17:59:55.949 UTC
29,3.8,Level 3,fc:64:3a:75:e9:16,2019-12-08 12:40:03.2 UTC
